§Compagnie§link§Note globale§Espace pour les jambes§Confort des sièges§Divertissement à bord (Wi-Fi, film, télévision)§Expérience à bord§Service client§Rapport qualité/prix§Propreté§Enregistrement et embarquement§Restauration et boissons§Prix§Avis
59§Corsair§https://www.tripadvisor.fr/Airline_Review-d8729056-Reviews-Corsair#REVIEWS§3,0§30§30§30§30§35§35§40§35§35§§1 740 avis
60§Bangkok Airways§https://www.tripadvisor.fr/Airline_Review-d8729031-Reviews-Bangkok-Airways#REVIEWS§4,0§40§40§25§40§40§40§45§45§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§4 302 avis
61§Interjet§https://www.tripadvisor.fr/Airline_Review-d8729091-Reviews-Interjet#REVIEWS§3,5§40§40§25§35§35§35§40§35§35§"[""Lauréat Travellers' Choice 2017""]"§6 218 avis
62§JetBlue§https://www.tripadvisor.fr/Airline_Review-d8729099-Reviews-JetBlue#REVIEWS§4,0§40§40§40§40§40§40§45§40§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§16 632 avis
63§SmartWings§https://www.tripadvisor.fr/Airline_Review-d8729153-Reviews-SmartWings#REVIEWS§3,0§25§30§20§25§35§30§35§35§25§§2 800 avis
64§Copa Airlines§https://www.tripadvisor.fr/Airline_Review-d8729055-Reviews-Copa-Airlines#REVIEWS§4,0§35§35§35§35§40§35§40§40§35§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018""]"§11 645 avis
65§Japan Airlines (JAL)§https://www.tripadvisor.fr/Airline_Review-d8729095-Reviews-Japan-Airlines-JAL#REVIEWS§4,5§40§40§40§40§45§40§45§45§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§8 607 avis
66§Malaysia Airlines§https://www.tripadvisor.fr/Airline_Review-d8729116-Reviews-Malaysia-Airlines#REVIEWS§3,5§35§35§35§35§35§35§35§35§35§§7 241 avis
67§SunExpress§https://www.tripadvisor.fr/Airline_Review-d8729217-Reviews-SunExpress#REVIEWS§3,0§30§30§15§25§30§35§35§35§25§§2 109 avis
68§TUIfly (Germany)§https://www.tripadvisor.fr/Airline_Review-d8729172-Reviews-TUIfly-Germany#REVIEWS§3,0§30§30§20§20§30§30§35§35§25§§2 991 avis
69§Condor§https://www.tripadvisor.fr/Airline_Review-d8729054-Reviews-Condor#REVIEWS§3,0§30§30§25§25§35§30§35§35§30§§7 344 avis
70§Air Europa§https://www.tripadvisor.fr/Airline_Review-d8729002-Reviews-Air-Europa#REVIEWS§3,0§30§30§25§25§30§30§35§35§25§§9 476 avis
71§Hawaiian Airlines§https://www.tripadvisor.fr/Airline_Review-d8729086-Reviews-Hawaiian-Airlines#REVIEWS§4,0§40§35§35§35§40§40§40§40§35§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018""]"§7 242 avis
72§Czech Airlines§https://www.tripadvisor.fr/Airline_Review-d8728916-Reviews-Czech-Airlines#REVIEWS§3,0§30§30§20§25§30§30§35§30§25§§2 326 avis
73§Air Tahiti Nui§https://www.tripadvisor.fr/Airline_Review-d8729013-Reviews-Air-Tahiti-Nui#REVIEWS§3,5§35§30§35§35§40§35§40§40§35§§1 523 avis
74§Kuwait Airways§https://www.tripadvisor.fr/Airline_Review-d8729107-Reviews-Kuwait-Airways#REVIEWS§3,0§35§35§30§30§30§35§35§30§30§§1 248 avis
75§Air Transat§https://www.tripadvisor.fr/Airline_Review-d8729014-Reviews-Air-Transat#REVIEWS§3,5§30§30§30§30§35§35§40§40§30§§10 388 avis
76§Wizz Air§https://www.tripadvisor.fr/Airline_Review-d8729187-Reviews-Wizz-Air#REVIEWS§3,0§30§30§15§25§30§35§35§30§25§§15 054 avis
77§Aerolineas Argentinas§https://www.tripadvisor.fr/Airline_Review-d8728988-Reviews-Aerolineas-Argentinas#REVIEWS§4,0§30§35§30§35§40§35§40§40§30§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018""]"§14 533 avis
78§Viva Air (Colombia)§https://www.tripadvisor.fr/Airline_Review-d10661148-Reviews-Viva-Air-Colombia#REVIEWS§2,0§25§25§15§20§25§25§35§25§20§§1 554 avis
79§Garuda Indonesia§https://www.tripadvisor.fr/Airline_Review-d8729079-Reviews-Garuda-Indonesia#REVIEWS§4,0§40§40§40§40§40§40§45§40§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§7 744 avis
